dia,Zacatecas,Yucatán,Veracruz,Tlaxcala,Tamaulipas,Tabasco,Sonora,Sinaloa,San Luis Potosí,Quintana Roo,Querétaro,Puebla,Oaxaca,Nuevo León,Nayarit,Morelos,Michoacán,México,Jalisco,Hidalgo,Guerrero,Guanajuato,Durango,Ciudad de México,Colima,Coahuila,Chihuahua,Chiapas,Campeche,Baja California Sur,Baja California,Aguascalientes
145,717,78,19,13,82,155,164,2270,1153,0,40,32,153,179,722,8,153,29,499,419,99,39,104,0,713,0,942,194,39,0,0,140
146,645,70,17,12,73,140,148,2044,1039,0,36,29,138,162,650,8,138,26,450,378,90,35,94,0,642,0,848,175,35,0,0,126
147,581,63,15,11,66,126,133,1841,935,0,33,26,124,145,586,7,124,23,405,340,81,31,84,0,578,0,764,157,31,0,0,114
148,523,57,14,9,59,113,120,1658,843,0,29,23,111,131,528,6,112,21,365,306,73,28,76,0,521,0,688,142,28,0,0,102
149,471,51,12,8,53,102,108,1493,759,0,26,21,100,118,475,5,101,19,328,276,65,25,68,0,469,0,620,127,25,0,0,92
150,425,46,11,8,48,92,97,1345,683,0,24,19,90,106,428,5,91,17,296,248,59,23,62,0,423,0,558,115,23,0,0,83
151,382,41,10,7,43,83,87,1211,615,0,21,17,81,96,385,4,82,15,266,224,53,20,55,0,381,0,503,103,20,0,0,75
152,344,37,9,6,39,74,79,1091,554,0,19,15,73,86,347,4,74,14,240,201,48,18,50,0,343,0,453,93,18,0,0,67
153,310,33,8,5,35,67,71,983,499,0,17,14,66,77,312,3,66,12,216,181,43,16,45,0,309,0,408,84,16,0,0,60
154,279,30,7,5,32,60,64,885,450,0,15,12,59,70,281,3,60,11,194,163,39,15,40,0,278,0,367,75,15,0,0,54
155,251,27,6,4,28,54,57,797,405,0,14,11,53,63,253,3,54,10,175,147,35,13,36,0,250,0,331,68,13,0,0,49
